type,client,tx,amount
dispute,50,1535034331,
dispute,73,1471001290,
deposit,9,2325392556,-748375261722628.0107
dispute,15,1711791583,
resolve,50,569741439,
dispute,43,3694646623,
deposit,14,1262687428,-325983251147758.3880
resolve,29,1190460187,
deposit,54,3283558584,164685257551672.3161
withdrawal,81,3473942799,607083425814513.9327
deposit,42,2023973562,-586397764722310.2895
resolve,69,1754140012,
deposit,78,3110476958,355874817552745.6202
withdrawal,38,2962849472,84152020500070.6418
resolve,8,3305364359,
dispute,3,677192886,
withdrawal,51,3904109362,-788325600955141.4236
dispute,18,2629570405,
resolve,60,3803834557,
withdrawal,13,3303974678,-147227928172923.8729
resolve,91,1912109902,
resolve,47,1798448304,
resolve,73,2338155301,
dispute,35,2953191365,
withdrawal,87,840662122,372908529424971.5664
dispute,9,2500414308,
deposit,65,2037044281,-634705677736673.3603
withdrawal,92,1103300330,-186907383174656.6258
deposit,70,299171176,-583984780302102.8887
dispute,52,2655711661,
deposit,39,3601413949,-451663138461669.2564
resolve,14,3687312877,
withdrawal,37,350079853,794667689135954.8791
resolve,32,328181784,
deposit,12,3104709709,-870167154219173.8608
deposit,70,3164375804,866877657899616.7393
withdrawal,65,3589750852,-154800245711945.9133
resolve,78,1541688542,
deposit,1,3261313100,675838261044745.5221
dispute,69,4199673831,
deposit,9,3313295855,884860812224119.6719
resolve,83,1036824737,
dispute,82,4273496705,
resolve,68,2163996744,
withdrawal,90,3945615675,-141959008883492.4173
resolve,60,1243082135,
deposit,73,1189811376,840492663920507.2748
dispute,10,275157469,
withdrawal,31,314285401,386849563238996.2044
resolve,42,4166636585,
dispute,50,523874108,
withdrawal,90,927301517,-376374696100637.2365
deposit,42,3896112720,58428680165033.3950
withdrawal,89,1154269721,174445525587829.8248
deposit,42,1767775898,-494568483820238.1943
resolve,40,1516357225,
dispute,49,663070265,
deposit,10,3896958819,570439928762546.9584
deposit,13,2034688021,206821256768665.9954
dispute,52,1223399208,
deposit,99,1717724751,541786963858095.9955
withdrawal,46,2540150770,-284842537458722.2015
deposit,20,3173191184,-215153684509091.7133
dispute,4,2976517950,
deposit,57,475221614,-844685678542565.2719
resolve,29,3023633676,
deposit,19,766733305,321693221519721.1558
dispute,87,4140667431,
resolve,46,1987043806,
dispute,16,1245856635,
resolve,68,1498555477,
resolve,5,3466485184,
deposit,24,634411639,499717092355175.5388
resolve,87,1206482412,
dispute,54,3036268181,
resolve,81,3493546311,
resolve,27,3224557642,
resolve,89,1368201955,
withdrawal,79,411741663,-67905148586802.6605
resolve,89,2404456259,
dispute,25,1571016516,
deposit,20,1572753280,-380324514658297.6911
dispute,40,4125563825,
withdrawal,77,3712541803,363272060096443.8847
resolve,83,556147810,
resolve,88,3655964032,
dispute,37,2105387558,
deposit,51,4194013051,-867109849831080.8727
deposit,17,410590795,199146409547327.0048
resolve,82,2835054554,
withdrawal,19,2459023276,636781047823423.6485
withdrawal,28,4062420672,-694611195990303.8840
withdrawal,12,226553512,-204099743374196.5069
dispute,14,3507108826,
resolve,8,918123617,
dispute,35,2845145765,
deposit,73,393266951,99057492512383.3391
resolve,77,1714800129,
dispute,26,2565562713,
deposit,56,4190713100,500522041723756.5111
deposit,15,1238930356,116599135698455.7188
withdrawal,67,463096147,-43361721613692.2043
withdrawal,21,1268262690,814147134396788.7038
withdrawal,67,3746126091,25632298040129.1847
resolve,23,1852006842,
deposit,41,619732525,-840859174013112.9176
withdrawal,20,2380544036,323004959125155.2387
resolve,86,3073368250,
dispute,69,3062635011,
withdrawal,73,1889654478,-204442484704654.3794
withdrawal,39,1032715335,749585022303615.0041
resolve,74,1263768178,
withdrawal,73,3019430645,-880406598392929.8808
withdrawal,90,1947895303,-582580682046598.3495
withdrawal,26,1157956456,-668281449665150.5139
withdrawal,34,16916056,-733055187015104.7206
deposit,4,2649038697,-188473752282106.0715
resolve,56,2388596365,
deposit,95,3028994463,-271792889305507.1330
withdrawal,64,3704444831,573089671772705.5751
deposit,3,857321250,324929432487203.1792
withdrawal,89,504796794,-361502248966457.5945
resolve,14,2027339873,
withdrawal,6,3981204279,678009131106523.1518
withdrawal,26,2668542319,-19909243810561.1545
deposit,59,2218363888,-511527797097738.1787
resolve,22,248139119,
resolve,79,3630183495,
dispute,21,2498048312,
withdrawal,79,353111329,-272597567166829.3853
dispute,78,1340106733,
dispute,91,3752750064,
resolve,96,4202439823,
deposit,91,2966352120,587935130360260.9429
withdrawal,35,566714567,175380964238879.7462
deposit,26,1765528848,195315371552432.4552
resolve,42,3219353100,
dispute,38,3343077893,
withdrawal,77,2181453445,573041526861232.8034
dispute,2,2474741729,
resolve,62,1052836789,
dispute,85,1948549249,
resolve,11,80237097,
dispute,12,1037480976,
withdrawal,22,1998296972,-898144764799066.3893
resolve,80,3381467859,
dispute,40,1575532286,
resolve,45,1825058048,
withdrawal,61,727354742,449386631267380.3358
withdrawal,36,2344441218,70713264334507.8943
dispute,55,1938446754,
deposit,66,1607252721,-678044620612366.9153
resolve,95,4157943121,
withdrawal,42,1418189601,192055565664655.1351
resolve,87,536124617,
resolve,73,242610572,
resolve,74,4174291973,
resolve,41,1107326275,
withdrawal,48,3631846981,540346803126041.9370
resolve,39,1758962259,
withdrawal,91,1995715361,-612129029795528.2955
deposit,31,2183116637,-260947772592112.1335
resolve,49,515887273,
withdrawal,77,751484832,-425831958207372.8325
deposit,96,2073155456,15643545828677.4608
resolve,27,3418035680,
deposit,7,3011563708,12021580414624.8668
deposit,5,705494153,890152127475190.7254
resolve,66,640996863,
withdrawal,32,2704822533,-688052425157770.2342
withdrawal,2,506744212,-109608510855541.2063
dispute,97,3055291472,
dispute,13,2411821666,
dispute,74,172831059,
withdrawal,6,4225532242,-741674195694241.4334
resolve,27,688740084,
deposit,63,2907861530,-855922563908126.3220
resolve,41,2236367408,
resolve,12,3445383427,
dispute,78,2218925933,
deposit,0,2504055274,147070872128359.3073
deposit,9,3171421482,-409056802158395.8958
dispute,91,2938675198,
withdrawal,81,242035900,-469156169851955.6172
deposit,76,559166047,-37014536837655.0825
deposit,33,3896399020,630513919087294.9685
deposit,91,4187841980,845156218298723.1676
resolve,70,3057895606,
deposit,54,3905240126,538132627475990.5404
deposit,15,286520407,-603006253960660.0293
resolve,8,3038586185,
deposit,27,1602041619,915927359948671.5274
deposit,25,3992509454,468956052204853.1815
dispute,86,2787229502,
deposit,6,4170624822,427484374529028.8960
withdrawal,29,1859038259,-318435043012346.1716
dispute,29,2094602021,
dispute,24,2440071162,
dispute,9,3691862517,
resolve,71,563407574,
dispute,43,3732908229,
dispute,93,3290306754,
withdrawal,9,3403825747,39985512712928.0471
dispute,1,1207142819,
deposit,71,1574238693,733815754264369.7196
resolve,66,2941330631,
dispute,96,1299310146,
dispute,86,2155435635,
dispute,50,3891631092,
withdrawal,27,936162740,863193912564340.9977
withdrawal,93,891498782,-479442695544773.0857
withdrawal,10,2585965115,-352981309766886.0221
withdrawal,49,538191921,-372819757490871.3186
resolve,36,2639101672,
deposit,95,1555019958,659241288508423.3762
withdrawal,63,2707760180,547755011748968.1855
deposit,71,1026492908,560256992496678.7478
withdrawal,30,1930496101,-712957006267821.0374
withdrawal,45,532654791,39201015873769.0035
deposit,78,1428472738,-120088221372979.0700
resolve,29,621289630,
deposit,8,261952963,-156060702690849.8747
deposit,64,1270424927,-69691130984843.2629
deposit,41,2337548411,561951951767348.5714
withdrawal,55,2771777907,-674317926456854.9908
withdrawal,30,1332211228,-672957361271217.8835
dispute,94,3022908512,
withdrawal,31,3520920357,604151935178909.4450
resolve,7,706925880,
deposit,42,2780441114,-449185410114909.7159
deposit,10,2931246563,843553850606504.7322
dispute,70,3845505962,
resolve,4,3853974750,
deposit,32,1100292273,431964203298866.0085
resolve,10,4185168740,
dispute,38,374288978,
deposit,91,2511746880,-752791891082038.8145
dispute,60,266412007,
withdrawal,1,970513662,-672142237083991.9099
dispute,31,633651653,
resolve,77,2295250450,
deposit,15,732435832,57459976186139.3757
dispute,82,4141128859,
deposit,84,95852273,-876694737955373.0534
dispute,47,2644041998,
deposit,10,3344843473,458413626840170.1966
resolve,42,804887936,
dispute,71,1062463233,
dispute,89,3026631301,
resolve,70,4186342265,
dispute,10,3730885739,
withdrawal,82,3563493071,62235505341923.6434
deposit,14,2215966466,-513337877776834.2596
withdrawal,15,2519022728,-199817494859738.5134
withdrawal,72,2716474363,-831769679902497.3214
resolve,94,2889079487,
deposit,68,271336590,-200741288314994.8313
resolve,19,351135835,
withdrawal,38,3468179811,-355954777403094.3970
resolve,10,4250161484,
resolve,49,1212815784,
dispute,6,356881607,
resolve,71,839464722,
dispute,54,2121974312,
deposit,77,4139662326,275581557880640.5833
dispute,5,2415784384,
resolve,34,1879106930,
withdrawal,24,878652629,398830327426011.5168
dispute,31,2384240959,
dispute,89,2096269952,
withdrawal,60,4176887328,-25911517643422.0191
deposit,17,4164326767,-196652134720001.6811
deposit,39,1450770414,-348980195796391.7135
deposit,97,4000289170,-506996600637338.2940
deposit,0,3295576931,-906941674793187.1176
deposit,60,2961846369,-922262878426264.3686
deposit,75,843705665,790892679290534.1740
dispute,46,36060229,
resolve,75,1157595994,
resolve,22,2424921680,
dispute,57,1037206324,
resolve,15,384601869,
withdrawal,37,1124190948,637099934802806.2594
dispute,4,1870030606,
withdrawal,44,3422248436,219567332809781.6968
resolve,94,3857817938,
withdrawal,87,1651386883,-430295134881987.4417
dispute,39,882648884,
resolve,32,893286468,
resolve,86,1258534429,
withdrawal,66,2563787427,-51792798777423.6609
dispute,13,4234682316,
deposit,77,1233193187,-176453554726951.0222
dispute,36,396166948,
dispute,90,3285372683,
dispute,39,1605547326,
withdrawal,73,3142206232,341016181805663.5355
resolve,82,904493025,
dispute,23,1225416260,
resolve,75,3585335790,
dispute,74,3580829509,
dispute,45,198414177,
withdrawal,55,3369803128,-619954544337769.0649
resolve,19,1080941566,
deposit,83,1002974343,818147911994112.7565
resolve,55,1623875106,
deposit,2,4128599520,-362064363172447.4370
withdrawal,25,200763606,-60743065590744.1305
resolve,42,3505542323,
dispute,12,3526071805,
withdrawal,35,796466806,-386495935395869.7774
deposit,96,3932946345,261750021815404.9449
dispute,19,1478058042,
withdrawal,70,3297931978,672439656707319.0554
deposit,29,980880337,-225515274706971.7924
dispute,32,886306342,
deposit,22,4179224474,894461663921541.0208
resolve,82,1538829226,
dispute,62,4055927418,
deposit,49,878202599,-669187871659243.8335
withdrawal,88,856345771,-552362818256094.8217
dispute,48,4058646958,
withdrawal,36,2559791485,-918539728519783.5449
resolve,56,1650812938,
resolve,30,3581126689,
withdrawal,64,2092034095,-323795211478753.9791
dispute,81,1143177486,
deposit,65,2877180570,863235966468164.2176
withdrawal,96,2002532128,718861754517653.5505
resolve,12,4163105720,
deposit,52,2737217579,787390628095806.8919
dispute,8,1899452604,
resolve,75,1005500385,
withdrawal,61,4230799149,-281219111179011.5915
resolve,45,111988960,
withdrawal,24,2155630773,250181587844974.5426
resolve,14,871475710,
resolve,29,3656852907,
deposit,48,1361155829,-53240949780766.1807
dispute,69,3091726641,
deposit,48,512811716,861853485882832.4634
dispute,72,3353816736,
dispute,17,2647063816,
resolve,85,729831245,
dispute,13,2010231229,
resolve,27,2441472785,
withdrawal,49,2711807216,-524662489649539.9818
withdrawal,57,3087123920,-850883209829463.2979
deposit,52,69116471,-321099330135301.6311
deposit,86,3959250599,-880019860915537.0309
withdrawal,6,1023857663,-94408054442951.8443
resolve,17,2188978719,
resolve,99,2280904534,
dispute,57,2935678101,
dispute,91,4085945995,
withdrawal,53,593707471,764573815646953.8705
withdrawal,6,2846933923,-718175123772430.8716
dispute,13,1043171000,
withdrawal,82,3251593991,-677862927077500.4588
dispute,97,3600131425,
dispute,7,1122810378,
dispute,5,3770930914,
dispute,39,1029004596,
withdrawal,98,992304347,-15252768949434.9511
resolve,45,2297968278,
withdrawal,63,266795903,-207812028825998.1300
deposit,36,106537914,633998689811683.4084
dispute,3,1243900237,
dispute,83,581063642,
dispute,69,1375645464,
dispute,8,2195291096,
dispute,20,1645919822,
resolve,30,3716923903,
resolve,72,2338098237,
resolve,84,1693043230,
withdrawal,17,1253604572,451213490780331.5256
resolve,13,989004390,
resolve,81,894144458,
resolve,32,1894683115,
deposit,27,1627715508,-65379724612785.7311
dispute,32,2530943593,
deposit,83,3541310883,-705513207629329.9748
withdrawal,39,76029200,-630618645877270.7620
deposit,92,1086616615,442480142397858.3908
deposit,58,1431923428,-196989802451134.1904
withdrawal,56,3564857681,-759938307590741.8270
resolve,18,839231187,
dispute,67,3482255534,
dispute,11,3932033511,
deposit,44,1796212114,-97753071084187.0722
resolve,90,199330724,
dispute,35,3063646932,
withdrawal,85,2826816656,-700959795525352.2725
deposit,38,1070142602,727734865915375.4063
withdrawal,42,2502991705,563511793634934.8765
withdrawal,8,4030385063,312944360962055.2142
resolve,74,3325887410,
deposit,99,4071531855,-824684713914844.5860
withdrawal,96,1360388749,376029586963878.7219
withdrawal,66,2336401794,32080021655725.9791
deposit,51,1256180069,606721280196767.6117
dispute,78,1273463217,
dispute,14,1193621747,
deposit,55,1670562170,186200528813024.0999
deposit,90,1566107017,260280038517591.0900
deposit,0,193394816,-369047963531694.1381
dispute,39,3241474723,
resolve,44,1745288305,
resolve,49,445784393,
dispute,9,194302578,
withdrawal,90,3800721187,790758507410911.2467
deposit,7,442683835,259376246792939.9057
withdrawal,35,692127351,406076137472152.3605
resolve,4,4187553870,
deposit,64,2291681802,-203604927416121.0988
withdrawal,66,3405131693,442049629093215.2213
withdrawal,45,544240098,466474025278947.0937
resolve,94,3266451710,
withdrawal,98,3427802013,-147355669516902.1974
resolve,75,2454253653,
deposit,73,2495398921,-700571597802171.9170
resolve,13,67238029,
deposit,28,2026270835,-605826350530306.2586
withdrawal,56,3333490190,456531144943068.2049
deposit,91,2942237396,-58731807926138.3827
deposit,77,560324434,-438833578662007.0317
dispute,68,3755626469,
deposit,47,3453354558,-457115123729892.3129
dispute,18,3787420642,
deposit,43,27561296,431390510969043.5986
deposit,70,1345139509,-158220751008766.1274
dispute,97,3442057290,
dispute,31,2755362119,
resolve,31,3015639094,
withdrawal,59,1813307215,-821270466948873.3656
deposit,9,334130508,694568691654751.1985
deposit,30,2847807259,612639670083259.3945
dispute,97,2834964016,
withdrawal,5,973431340,-494323445407783.0733
dispute,63,1273321943,
dispute,53,898009740,
resolve,45,143109060,
dispute,29,1146715490,
dispute,99,997504388,
deposit,68,3233992470,-424392346212706.2872
withdrawal,16,3345131969,-12236230630670.2962
withdrawal,47,3334979587,38582488295836.2061
deposit,65,2648323822,-595518160715424.6198
deposit,54,2548446422,-113746888832288.8354
withdrawal,73,1297493370,-901880555399423.1685
deposit,25,2552702622,-62660757030391.0315
resolve,48,2281035536,
dispute,71,2897689162,
deposit,64,3629957800,102670461845262.6167
resolve,97,1574829164,
deposit,41,647652663,70325005507285.9838
dispute,19,2810832741,
withdrawal,91,2928731404,-234519197214672.2235
deposit,10,2524857730,-300531338616088.3400
resolve,63,2237090113,
deposit,47,1986182026,-268066324344955.4837
dispute,32,2607201086,
resolve,86,2660789669,
resolve,45,2008175750,
withdrawal,0,2298323321,-753051109518103.8402
resolve,19,3810159607,
resolve,75,3774447935,
deposit,24,3737993205,501416807167341.9704
deposit,44,1650489655,-40468117421657.3219
withdrawal,77,605982390,76670201253883.0846
resolve,97,3478029626,
withdrawal,60,669834781,646856703978480.5280
resolve,99,2220657766,
withdrawal,57,3715252238,-789708219109014.1520
resolve,25,4121543776,
withdrawal,97,1866996318,28418660338774.1386
dispute,8,4162353619,
deposit,27,329901159,-365313232806934.7418
resolve,7,1316876261,
withdrawal,91,13250415,-63500105274237.0444
dispute,3,1833850331,
